Protein,GEM
DKKL1,-3.37749526841107
TLR3,-3.26874073488087
LILRB5,-8.7798798960079
CD33,-3.52278290720373
MICB_MICA,-3.95048718828038
SIRPA,-2.9921316485993
FUCA1,-3.61820616086969
PDGFRB,-3.25299337654138
MDGA1,-2.3418891739217
PSCA,-4.79884820149351
KLK12,-4.57275467559538
MBL2,-2.56872960522401
ZP3,-6.16054739280835
CCL24,-3.31062590470015
DBH,-3.10440172847781
CFHR2,-2.77197683022314
CFHR4,-3.05818879389058
TDGF1,-4.80295906796026
LRRC37A2,-4.07591778585651
CEACAM21,-3.22862944422254
ACP6,-2.93188073358752
TPSAB1,-2.92561758560602
MEP1B,-2.48135311359467
IL17RA,-3.21952512672429
LILRA6,-3.29061130003683
CSF2RB,-2.91278334777297
LILRA3,-4.54938017356121
CTSH,-3.01498591146331
ABO,-7.84365321864074
IL6R,-2.98897935526071
GC,-3.07285517512387
APOBR,-3.37457905786876
CD177,-3.84137928399402
KIR3DL1,-3.68118482920126
FGFR4,-3.53300276073952
HDGF,-3.33182312217239
IL1RAP,-2.4472400136237
ADGRB3,-2.65733362366781
PILRB,-2.25257744075564
HBZ,-4.46973633238025
SGSH,-2.62548742638625
LY75,-2.93788041009067
CD300LF,-2.26468443593689
IFNGR2,-2.15685229220888
VNN1,-2.04835497156672
TNN,-1.96778234835505
TREH,-2.19215835732809
MAN2B2,-2.41077620780444
PGLYRP2,-2.52467683041811
F12,-2.5055917244142
PSG1,-2.689998139048
PM20D1,-4.0135471463379
KLK1,-3.53304968559847
ENPP5,-1.8416559623164
CHIT1,-3.82832965468722
LILRB2,-2.29851915688166
PDCD6,-3.28440850066092
MSMB,-2.42417591540768
KLK15,-3.499459612435
ICAM2,-2.74901487996556
FCGR2A,-2.94673594848033
LAIR2,-3.13437608142714
PRSS53,-2.57199707726337
CD200R1,-2.75559641824621
SIGLEC9,-2.31792277238861
ENPP7,-1.81446160614883
C1QTNF9,-1.74339054278001
AFAP1,-4.89050210303469
PLB1,-3.14128394254694
SIGLEC5,-2.47806260539864
DPEP1,-2.49006095874059
CD70,-2.89049376277251
SFTPD,-2.25785879196956
FCRL3,-3.58367298275327
FOLR3,-4.34504607444875
TNFRSF10C,-2.22569966789751
IL7R,-2.31808439542765
CD109,-2.66885367122748
RNASE10,-2.72801587040924
HSD17B14,-2.3830765081253
CST7,-2.5116332030729
TOP1,-3.20903393375047
SERPINA12,-3.15795467769426
CLEC4C,-2.67091378054837
CLEC4M,-1.64668621527176
SNCG,-2.13206552633216
LECT2,-1.94912686589456
PON1,-1.82663071842925
CD209,-1.70620739053822
LPA,-3.15996331461791
VMO1,-2.42045999366126
PILRA,-1.87357430984395
CD101,-2.65482210506284
PON2,-1.74063177342858
VSTM1,-2.94556780436903
SMPDL3A,-1.9031650513478
ICAM5,-1.98937578742193
ADAM15,-3.54017848152888
FCGR3B,-2.75078719752639
CPVL,-2.90147307913543
CRTAC1,-1.60462694563514
CLEC7A,-2.31163744981568
UMOD,-1.85603577100671
SLAMF8,-2.10277155959794
IL17RB,-1.93620578886103
CAPG,-2.19419644719951
IL1RL1,-1.99273768876795
OLFM4,-2.77951365218298
CCL25,-2.13940977702457
ALPI,-2.3722925584797
MUC2,-3.54280941115746
TMPRSS5,-2.12693197646605
FCRLB,-2.84738547629995
GPC5,-2.56570319392482
CCL15,-1.89947760192983
IL18R1,-1.46574609523397
KLB,-2.37917365920623
CNTN2,-1.9408249555887
CCL8,-2.3642435170912
FCAR,-2.13779646083021
FCN2,-2.36995742733873
SERPINI2,-3.1991027063147
CRYGD,-2.72468264990117
FGFBP2,-1.75217090168028
PDCD1LG2,-1.88770249774211
FAM3D,-2.36575051484243
TACSTD2,-2.13320167103205
CLUL1,-2.20180494006509
LCP1,-3.46976964901273
TXNDC15,-2.05125700443987
CRISP2,-2.48124816213626
CST5,-2.5005522761239
FUT8,-3.11085678096685
KIR2DL2,-2.79535685349906
SIRPB1,-1.68864470108591
PVR,-1.76078499148163
LILRB1,-1.99743910342262
CA6,-1.38564785199623
COL2A1,-3.37946788136971
ICAM4,-2.72605523805772
LRIG1,-1.6069544900958
SPINK4,-1.75487834464488
ADAM23,-2.02345826384481
FLT4,-1.99757518064345
COL28A1,-3.58239191333549
PINLYP,-2.48909880685926
HEPACAM2,-2.07218620098184
TCN2,-2.09025538152688
APOE,-3.1064229457701
CD6,-2.51319685763401
CD276,-1.91003263623731
CCL16,-1.59402912422726
CPPED1,-2.21367654658219
MANSC4,-1.82952352462569
NAAA,-2.17241636043118
TCTN3,-2.06303568346276
OSCAR,-1.69085644527377
PVALB,-3.79244220436196
PLXNB2,-2.11894759897661
SELE,-1.93192448114471
SERPINB8,-1.97557203873249
XCL1,-2.00724320454561
GASK1A,-2.1737496167737
LRRN1,-1.62773077721213
HMCN2,-1.90297767657635
TYRO3,-2.05676737293371
VNN2,-2.07334296707276
ASAH2,-1.95909629202761
LEFTY2,-2.41783628724099
PRR4,-2.17190156123032
CRISP3,-1.86664690429911
GBP4,-4.12615998811043
FCRL2,-2.66486538250238
CDH17,-2.07509444885626
LILRA2,-1.65376805735551
OBP2B,-1.88666543016643
CRELD1,-1.55709981563912
CTSC,-2.70359032146061
LTA,-2.12581585640701
CDSN,-2.49842294701048
ARSA,-1.94145011033729
VEGFA,-1.82647231370498
FGL1,-1.73422777505162
SERPINA11,-1.53273493554801
CPQ,-1.91786989047449
LAMB1,-2.02642136680088
CLPS,-1.9817038664278
IL5RA,-2.92944590304933
WFDC12,-1.81044919731878
PSAPL1,-2.35768164841586
IDUA,-1.72494109046432
PTPRM,-2.29024794551437
KAZALD1,-1.85365613327199
AHSG,-1.80889006238178
KIR2DL3,-3.32222687713316
FCRL6,-2.22767388113489
SPARCL1,-2.0668251599796
GPR37,-1.33178743508422
VSIG10,-4.66491346177443
FUT3_FUT5,-1.85480274883355
PAEP,-1.98763082684201
C7,-1.83997151163485
PTPRH,-2.50172607702866
ENTPD6,-2.90702252257271
MIA,-1.62316572003682
HGFAC,-2.27288140141344
TEK,-2.38585450280507
TCN1,-5.67459311626631
IL31RA,-2.37981931565755
SCN4B,-1.47346746275416
PYDC1,-2.98657159770678
CNTN5,-1.47038865987618
DYNLT1,-2.21318338124083
LRPAP1,-2.65259323154404
FAM3B,-1.68891161130382
CSTB,-1.67621188517696
SHMT1,-2.26725099197124
SLAMF7,-2.74076553440864
NCAM2,-1.74343582404179
CLEC10A,-1.69480126220335
MELTF,-1.7815052690739
SFTPA2,-2.10908533452892
SIGLEC6,-2.30284684714914
VCAN,-2.372152036132
PRSS27,-1.92526240250231
CGREF1,-1.25103016131309
ITPA,-2.19086808850191
KDR,-1.95725669281687
CD48,-1.81873600279573
CDHR5,-1.12562948145601
KEL,-2.44110970170638
CTBS,-1.79719638181175
HSBP1,-2.75587705245797
NPTX1,-2.40065798325295
SPAG1,-8.74669708758375
B3GNT7,-1.96201285577563
TGFBI,-1.61877867480504
GFRAL,-1.70478367040141
MMP1,-2.0727337196843
TGOLN2,-1.89742059617693
CA5A,-1.56014544304928
SEMA3G,-2.09487033696693
AMN,-2.26390662879313
BTD,-2.36320088706954
OSMR,-1.65549360042831
LYPD3,-2.78104801757458
CR1,-1.80019052256046
TIMP3,-2.10103294600643
LILRB4,-1.54192036591045
ALPP,-1.17519585975023
SIGLEC8,-1.71942751208583
GNLY,-2.29219404397457
SPINK2,-1.41221783579035
CLGN,-2.14321893741998
MSLN,-1.90460863807239
LGALS3,-1.96719313758304
ITGA2,-1.60004493027657
LEG1,-2.38172567377855
CDH6,-1.44787412733741
HDDC2,-3.62797774335838
VIT,-2.26646982767282
SERPINA9,-2.18969029590209
MILR1,-1.80357620960829
FGF5,-2.45067658996271
IL34,-3.71943029335995
CD207,-1.98522761152593
BTN3A2,-1.67879029322786
IL12B,-1.42126941397285
TOR1AIP1,-2.33295084761037
DPP7,-1.65884891822029
SCG3,-1.7872348880406
KLK4,-1.67924595115822
NT5E,-1.69218156605874
GRN,-1.6903757763052
SERPINA4,-2.34389926255939
CRNN,-2.388335446207
LYPD8,-3.22765114241161
HNMT,-1.68906551810065
CD300C,-1.34026632064734
KLK10,-2.1080845626809
EDAR,-2.88949867103568
LAIR1,-1.23454926717407
SUSD5,-1.20372495061465
CCN4,-1.90399331063884
HAVCR1,-1.33327783454537
ANG,-1.43177056519201
GLRX,-2.1017474373156
ADA,-2.26462717706742
