Protein,Genetics (G),G: 95% CI,Exposures (E),E: 95% CI,Interactions (GxE),GxE: 95% CI
A1BG,0.1568,"(0.1564,0.1572)",0.0358,"(0.0342,0.0374)",4e-04,"(3e-04,5e-04)"
AAMDC,0.2197,"(0.2197,0.2197)",0.0034,"(0.0026,0.0042)",5e-04,"(3e-04,7e-04)"
AARSD1,0.0176,"(0.0174,0.0178)",0.0052,"(0.0029,0.0075)",2e-04,"(2e-04,2e-04)"
ABCA2,0.0029,"(0.0029,0.0029)",0.003,"(0.002,0.004)",4e-04,"(2e-04,6e-04)"
ABHD14B,0.0582,"(0.0581,0.0583)",0.0018,"(0.0015,0.0021)",2e-04,"(2e-04,2e-04)"
ABL1,0.0104,"(0.0102,0.0106)",0.0082,"(0.006,0.0104)",4e-04,"(2e-04,6e-04)"
ABO,0.6553,"(0.6551,0.6555)",0,"(0,0)",2e-04,"(2e-04,2e-04)"
ABRAXAS2,0.0065,"(0.0061,0.0069)",0.0042,"(0.0035,0.0049)",4e-04,"(2e-04,6e-04)"
ACAA1,0.0156,"(0.0156,0.0156)",0.0205,"(0.0172,0.0238)",3e-04,"(1e-04,5e-04)"
ACADM,0.0058,"(0.0058,0.0058)",3e-04,"(2e-04,4e-04)",5e-04,"(3e-04,7e-04)"
ACADSB,0.0572,"(0.0568,0.0576)",0.001,"(8e-04,0.0012)",6e-04,"(5e-04,7e-04)"
ACAN,0.0912,"(0.0907,0.0917)",0.0216,"(0.0187,0.0245)",6e-04,"(5e-04,7e-04)"
ACE,0.1345,"(0.1345,0.1345)",0.0043,"(0.0034,0.0052)",8e-04,"(8e-04,8e-04)"
ACE2,0.0396,"(0.0394,0.0398)",0.0442,"(0.0352,0.0532)",9e-04,"(7e-04,0.0011)"
ACHE,0.138,"(0.1374,0.1386)",0.008,"(0.0053,0.0107)",5e-04,"(4e-04,6e-04)"
ACOT13,0.0191,"(0.019,0.0192)",0.0039,"(0.0036,0.0042)",2e-04,"(1e-04,3e-04)"
ACOX1,0.0046,"(0.0044,0.0048)",8e-04,"(6e-04,0.001)",3e-04,"(2e-04,4e-04)"
ACP1,0.0907,"(0.0904,0.091)",0.0044,"(0.0039,0.0049)",6e-04,"(4e-04,8e-04)"
ACP5,0.1445,"(0.1445,0.1445)",0.0464,"(0.0458,0.047)",5e-04,"(3e-04,7e-04)"
ACP6,0.6957,"(0.6955,0.6959)",0.0028,"(0.0027,0.0029)",2e-04,"(1e-04,3e-04)"
ACRBP,0.0304,"(0.0303,0.0305)",0.0018,"(0.0018,0.0018)",3e-04,"(3e-04,3e-04)"
ACRV1,0.0029,"(0.0029,0.0029)",0.0284,"(0.0149,0.0419)",3e-04,"(3e-04,3e-04)"
ACSL1,0.0019,"(0.0018,0.002)",4e-04,"(4e-04,4e-04)",5e-04,"(4e-04,6e-04)"
ACTA2,0.0042,"(0.004,0.0044)",0.0042,"(0.0011,0.0073)",6e-04,"(4e-04,8e-04)"
ACTN2,0.0071,"(0.0069,0.0073)",0.0103,"(0.0101,0.0105)",6e-04,"(5e-04,7e-04)"
ACVRL1,0.0857,"(0.0849,0.0865)",0.0303,"(0.0221,0.0385)",4e-04,"(1e-04,7e-04)"
ACY1,0.0238,"(0.0235,0.0241)",0.0708,"(0.0599,0.0817)",5e-04,"(2e-04,8e-04)"
ACY3,0.0824,"(0.0821,0.0827)",0.019,"(0.0147,0.0233)",3e-04,"(3e-04,3e-04)"
ACYP1,0.054,"(0.0537,0.0543)",0.0071,"(0.0051,0.0091)",5e-04,"(4e-04,6e-04)"
ADA,0.262,"(0.2613,0.2627)",0.0048,"(0.0037,0.0059)",2e-04,"(2e-04,2e-04)"
ADA2,0.124,"(0.124,0.124)",0.0373,"(0.0356,0.039)",7e-04,"(5e-04,9e-04)"
ADAM12,0.0264,"(0.0252,0.0276)",0.0286,"(0.022,0.0352)",3e-04,"(1e-04,5e-04)"
ADAM15,0.4572,"(0.457,0.4574)",0.0018,"(0.0016,0.002)",2e-04,"(2e-04,2e-04)"
ADAM22,0.2476,"(0.2469,0.2483)",0.0227,"(0.0204,0.025)",4e-04,"(3e-04,5e-04)"
ADAM23,0.3553,"(0.3553,0.3553)",0.0051,"(0.0049,0.0053)",2e-04,"(2e-04,2e-04)"
ADAM8,0.1637,"(0.1632,0.1642)",0.0195,"(0.016,0.023)",2e-04,"(-1e-04,5e-04)"
ADAM9,0.0559,"(0.0557,0.0561)",0.0085,"(0.0058,0.0112)",4e-04,"(2e-04,6e-04)"
ADAMTS1,0.0021,"(0.0018,0.0024)",0.0035,"(0.0023,0.0047)",9e-04,"(6e-04,0.0012)"
ADAMTS13,0.1757,"(0.1749,0.1765)",0.0102,"(0.01,0.0104)",5e-04,"(5e-04,5e-04)"
ADAMTS15,0.0364,"(0.0362,0.0366)",0.0294,"(0.0156,0.0432)",3e-04,"(3e-04,3e-04)"
ADAMTS16,0.0261,"(0.0259,0.0263)",0.0216,"(0.0197,0.0235)",1e-04,"(1e-04,1e-04)"
ADAMTS4,0.0143,"(0.0141,0.0145)",0.0034,"(8e-04,0.006)",5e-04,"(4e-04,6e-04)"
ADAMTS8,0.2318,"(0.2312,0.2324)",0.0333,"(0.0321,0.0345)",3e-04,"(3e-04,3e-04)"
ADAMTSL2,0.0356,"(0.0353,0.0359)",0.0458,"(0.0331,0.0585)",5e-04,"(5e-04,5e-04)"
ADAMTSL4,0.0718,"(0.0716,0.072)",0.0035,"(0.003,0.004)",4e-04,"(3e-04,5e-04)"
ADAMTSL5,0.116,"(0.115,0.117)",0.0268,"(0.0262,0.0274)",5e-04,"(5e-04,5e-04)"
ADCYAP1R1,0.0014,"(0.0013,0.0015)",1e-04,"(0,2e-04)",2e-04,"(1e-04,3e-04)"
ADD1,0.0268,"(0.0265,0.0271)",0.0083,"(0.0041,0.0125)",5e-04,"(4e-04,6e-04)"
ADGRB3,0.6025,"(0.6017,0.6033)",0.0055,"(0.0038,0.0072)",1e-04,"(0,2e-04)"
ADGRD1,0.2064,"(0.2057,0.2071)",0.0333,"(0.0258,0.0408)",5e-04,"(5e-04,5e-04)"
ADGRE1,0.2146,"(0.2145,0.2147)",0.0152,"(0.0133,0.0171)",8e-04,"(6e-04,0.001)"
